ProductModelID,Name,Description
122,All-Purpose Bike Stand,Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.
119,Bike Wash,"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle."
115,Cable Lock,"Wraps to fit front and rear tires, carrier and 2 keys included."
98,Chain,Superior shifting performance.
1,Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket."
2,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.
121,Fender Set - Mountain,Clip-on fenders fit most mountain bikes.
102,Front Brakes,All-weather brake pads; provides superior stopping by applying more surface to the rim.
103,Front Derailleur,Wide-link design.
3,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders."
4,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure."
109,Headlights - Dual-Beam,Rechargeable dual-beam headlight.
110,Headlights - Weatherproof,Rugged weatherproof headlight.
118,Hitch Rack - 4-Bike,"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch."
97,HL Bottom Bracket,Aluminum alloy cups and a hollow axle.
101,HL Crankset,Triple crankset; alumunim crank arm; flawless shifting.
106,HL Fork,High-performance carbon road fork with curved legs.
61,HL Headset,"High-quality 1"" threadless headset with a grease port for quick lubrication."
5,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
46,HL Mountain Front Wheel,High-performance mountain replacement wheel.
55,HL Mountain Handlebars,Flat bar strong enough for the pro circuit.
64,HL Mountain Pedal,Stainless steel; designed to shed mud easily.
125,HL Mountain Rear Wheel,High-performance mountain replacement wheel.
73,HL Mountain Seat/Saddle 1,Replacement rear mountain wheel for entry-level rider.
81,HL Mountain Seat/Saddle 2,Anatomic design for a full-day of riding in comfort. Durable leather.
87,HL Mountain Tire,"Incredible traction, lightweight carbon reinforced."
6,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
51,HL Road Front Wheel,Strong wheel with double-walled rim.
58,HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.
70,HL Road Pedal,Top-of-the-line clipless pedals with adjustable tension.
78,HL Road Rear Wheel,Strong rear wheel with double-walled rim.
